ID;Fecha;Local ;Visitante;latitud;longitud
1;16/8/2025;VICENTE LOPEZ;CLUB SAHORES;-34,70107;-58,473
2;23/8/2025;CLUB SAHORES;FERRO C.O.;-34,6225;-58,37421
3;30/8/2025;TORINO;CLUB SAHORES;-34,66099;-58,47712
4;6/9/2025;GIUFFRA;CLUB SAHORES;-34,6225;-58,37421
5;13/9/2025;CLUB SAHORES;MENDEVILLE;-34,6225;-58,37421
6;20/9/2025;EL TREBOL F. C.;CLUB SAHORES;-34,58344;-58,48094
7;27/9/2025;CLUB SAHORES;MITRE L.M.R.;-34,6225;-58,37421
8;4/10/2025;LOS LEONES DE VILLA SOLDATI;CLUB SAHORES;-34,66276;-58,43744
9;11/10/2025;CLUB SAHORES;ESTRELLA;-34,6225;-58,37421
10;18/10/2025;FATIMA;CLUB SAHORES;-34,66694;-58,53586
11;25/10/2025;CLUB SAHORES;AÑASCO;-34,6225;-58,37421
12;1/11/2025;PACIFICO MAR PLAST;CLUB SAHORES;-34,61082;-58,49781
13;8/11/2025;CLUB SAHORES;CLUB ATLETICO PIRAÑA;-34,6225;-58,37421
14;15/11/2025;JOVENES DEPORTISTAS;CLUB SAHORES;-34,68508;-58,46308
15;22/11/2025;CLUB SAHORES;HOMERO;-34,6225;-58,37421
